nombre,categoria,precio,marca,precio_anterior,referencia,etiqueta,stock,descripcion,especificaciones
Thermaltake Toughpower GF1 750W Gold,Fuente de Poder,2300,Thermaltake,,PS-TPD-0750FNFAGU-1,,15,Cables planos y buena regulación de voltaje.,"Potencia: 750W
Certificación: 80+ Gold
Modular: Sí (total)
Ventilador: 140mm"
XPG Core Reactor 650W Gold,Fuente de Poder,1750,XPG,,COREREACTOR650G-BKCUS,,20,Buen rendimiento térmico con ventilador de baja vibración.,"Potencia: 650W
Certificación: 80+ Gold
Modular: Sí (total)
Ventilador: 120mm"
XPG Pylon 450W 80+ Bronze,Fuente de Poder,900,XPG,,PYLON450B-BKCUS,,32,Económica y suficiente para sistemas sin GPU dedicada exigente.,"Potencia: 450W
Certificación: 80+ Bronze
Modular: No
Ventilador: 120mm"
Seasonic Focus GX-750 80+ Gold,Fuente de Poder,2600,Seasonic,,SSR-750FX,,12,Una de las marcas más confiables del mercado de fuentes.,"Potencia: 750W
Certificación: 80+ Gold
Modular: Sí (total)
Ventilador: 120mm"
Seasonic Prime TX-1000 80+ Titanium,Fuente de Poder,6800,Seasonic,,SSR-1000TR,NUEVO,4,"La certificación más alta disponible, máxima eficiencia.","Potencia: 1000W
Certificación: 80+ Titanium
Modular: Sí (total)
Ventilador: 135mm"
MSI MAG A650BN 80+ Bronze,Fuente de Poder,1200,MSI,,MAG-A650BN,,22,Opción accesible de MSI para sistemas gamer de entrada.,"Potencia: 650W
Certificación: 80+ Bronze
Modular: No
Ventilador: 120mm"
MSI MPG A850G 80+ Gold,Fuente de Poder,2950,MSI,,MPG-A850G,,13,Buena opción para sistemas con GPU de gama alta-media.,"Potencia: 850W
Certificación: 80+ Gold
Modular: Sí (total)
Ventilador: 135mm"
Antec NeoECO 650W Gold,Fuente de Poder,1650,Antec,,NE650G-M,,18,Marca veterana con buena relación precio-calidad.,"Potencia: 650W
Certificación: 80+ Gold
Modular: Sí (semi)
Ventilador: 120mm"
Gigabyte UD850GM 80+ Gold,Fuente de Poder,2500,Gigabyte,,GP-UD850GM,,11,Buena opción de Gigabyte para acompañar sus tarjetas gráficas.,"Potencia: 850W
Certificación: 80+ Gold
Modular: Sí (total)
Ventilador: 120mm"
NZXT C650 80+ Gold,Fuente de Poder,2050,NZXT,,PA-650AB-US,EN STOCK,19,Diseño minimalista que combina con gabinetes NZXT.,"Potencia: 650W
Certificación: 80+ Gold
Modular: Sí (total)
Ventilador: 120mm"
be quiet! Pure Power 12 M 750W Gold,Fuente de Poder,2700,be quiet!,,BN345,,9,"Silenciosa por diseño, ideal para builds que priorizan el ruido bajo.","Potencia: 750W
Certificación: 80+ Gold
Modular: Sí (total)
Ventilador: 120mm"
Kingston A400 240GB SATA SSD,Almacenamiento,450,Kingston,,SA400S37/240G,,40,La forma más económica de dejar atrás el disco duro mecánico.,"Capacidad: 240GB
Interfaz: SATA III
Lectura: 500 MB/s
Formato: 2.5"""
Kingston NV2 500GB NVMe Gen4,Almacenamiento,750,Kingston,,SNV2S/500G,,30,SSD NVMe accesible con velocidades varias veces mayores a SATA.,"Capacidad: 500GB
Interfaz: PCIe 4.0 NVMe
Lectura: 3500 MB/s
Formato: M.2 2280"
Samsung 870 EVO 500GB SATA SSD,Almacenamiento,950,Samsung,,MZ-77E500B,,25,Confiabilidad Samsung en formato SATA tradicional.,"Capacidad: 500GB
Interfaz: SATA III
Lectura: 560 MB/s
Formato: 2.5"""
Samsung 990 Pro 1TB NVMe Gen4,Almacenamiento,2200,Samsung,,MZ-V9P1T0BW,HOT,18,Uno de los SSD NVMe más rápidos y confiables del mercado.,"Capacidad: 1TB
Interfaz: PCIe 4.0 NVMe
Lectura: 7450 MB/s
Formato: M.2 2280"
Samsung 990 EVO Plus 1TB NVMe,Almacenamiento,2400,Samsung,,MZ-V9S1T0BW,NUEVO,14,Compatible con PCIe 5.0 manteniendo gran eficiencia energética.,"Capacidad: 1TB
Interfaz: PCIe 4.0/5.0 NVMe
Lectura: 7250 MB/s
Formato: M.2 2280"
WD Blue 1TB SATA SSD,Almacenamiento,1100,Western Digital,,WDS100T2B0A,,26,Opción equilibrada para actualizar laptops y PCs de escritorio.,"Capacidad: 1TB
Interfaz: SATA III
Lectura: 560 MB/s
Formato: 2.5"""
WD Black SN770 1TB NVMe Gen4,Almacenamiento,1850,Western Digital,,WDS100T3X0E,,20,Buen balance entre rendimiento gaming y precio.,"Capacidad: 1TB
Interfaz: PCIe 4.0 NVMe
Lectura: 5150 MB/s
Formato: M.2 2280"
WD Black SN850X 2TB NVMe Gen4,Almacenamiento,3600,Western Digital,,WDS200T2X0E,,11,El SSD gaming insignia de Western Digital.,"Capacidad: 2TB
Interfaz: PCIe 4.0 NVMe
Lectura: 7300 MB/s
Formato: M.2 2280"
Crucial MX500 500GB SATA SSD,Almacenamiento,880,Crucial,,CT500MX500SSD1,,28,Clásico confiable en el segmento SATA.,"Capacidad: 500GB
Interfaz: SATA III
Lectura: 560 MB/s
Formato: 2.5"""
Crucial P3 Plus 1TB NVMe Gen4,Almacenamiento,1700,Crucial,,CT1000P3PSSD8,,22,Buen punto de entrada al mundo NVMe Gen4.,"Capacidad: 1TB
Interfaz: PCIe 4.0 NVMe
Lectura: 5000 MB/s
Formato: M.2 2280"
Crucial T700 2TB NVMe Gen5,Almacenamiento,5200,Crucial,,CT2000T700SSD3,NUEVO,6,"Velocidades de nueva generación PCIe 5.0, de los más rápidos del mercado.","Capacidad: 2TB
Interfaz: PCIe 5.0 NVMe
Lectura: 12400 MB/s
Formato: M.2 2280"
ADATA Legend 800 1TB NVMe Gen4,Almacenamiento,1600,ADATA,,ALEG-800-1TCS,,19,Disipador integrado para mantener temperaturas bajo control.,"Capacidad: 1TB
Interfaz: PCIe 4.0 NVMe
Lectura: 3500 MB/s
Formato: M.2 2280"
ADATA SU650 480GB SATA SSD,Almacenamiento,600,ADATA,,ASU650SS-480GT-R,,35,Una de las opciones SATA más económicas del mercado.,"Capacidad: 480GB
Interfaz: SATA III
Lectura: 520 MB/s
Formato: 2.5"""
Seagate Barracuda 1TB HDD 7200RPM,Almacenamiento,850,Seagate,,ST1000DM010,,30,Disco duro tradicional para almacenamiento masivo económico.,"Capacidad: 1TB
Interfaz: SATA III
Velocidad: 7200 RPM
Formato: 3.5"""
Seagate IronWolf 4TB NAS HDD,Almacenamiento,2900,Seagate,,ST4000VN006,,8,Diseñado para funcionar 24/7 en sistemas NAS.,"Capacidad: 4TB
Interfaz: SATA III
Velocidad: 5900 RPM
Formato: 3.5"""
Seagate FireCuda 530 1TB NVMe Gen4,Almacenamiento,2350,Seagate,,ZP1000GM3A013,,12,"Orientado a gaming, compatible con PS5.","Capacidad: 1TB
Interfaz: PCIe 4.0 NVMe
Lectura: 7300 MB/s
Formato: M.2 2280"
WD Purple 2TB Surveillance HDD,Almacenamiento,1750,Western Digital,,WD23PURZ,,14,Diseñado para grabación continua de cámaras de seguridad.,"Capacidad: 2TB
Interfaz: SATA III
Velocidad: 5400 RPM
Formato: 3.5"""
Toshiba P300 2TB HDD,Almacenamiento,1400,Toshiba,,HDWD220UZSVA,,18,Buena opción de almacenamiento masivo a precio accesible.,"Capacidad: 2TB
Interfaz: SATA III
Velocidad: 7200 RPM
Formato: 3.5"""
Kingston KC3000 2TB NVMe Gen4,Almacenamiento,3400,Kingston,,SKC3000D/2048G,,9,Gama alta de Kingston con muy buen rendimiento sostenido.,"Capacidad: 2TB
Interfaz: PCIe 4.0 NVMe
Lectura: 7000 MB/s
Formato: M.2 2280"
Lexar NM790 2TB NVMe Gen4,Almacenamiento,2900,Lexar,,LNM790X002T-RNNNG,EN STOCK,13,Excelente relación precio-rendimiento en 2TB.,"Capacidad: 2TB
Interfaz: PCIe 4.0 NVMe
Lectura: 7400 MB/s
Formato: M.2 2280"
NZXT H5 Flow,Gabinete,2050,NZXT,,CM-H51FW-01,,14,Diseño limpio con buen flujo de aire en formato mid-tower.,"Formato: ATX Mid Tower
Ventiladores incluidos: 2
Panel lateral: Vidrio templado
Bahías 3.5""/2.5"": 2/2"
NZXT H7 Flow,Gabinete,2950,NZXT,,CM-H71FB-01,HOT,9,Versión más grande con mejor espacio para radiadores.,"Formato: ATX Mid Tower
Ventiladores incluidos: 3
Panel lateral: Vidrio templado
Radiador máx: 360mm"
Cooler Master MasterBox Q300L,Gabinete,1100,Cooler Master,,MCB-Q300L-KANN-S00,,20,"Compacto y económico, ideal para Micro-ATX.","Formato: Micro-ATX
Ventiladores incluidos: 1
Panel lateral: Acrílico
Bahías 3.5""/2.5"": 2/2"
Cooler Master MasterBox TD500 Mesh,Gabinete,2200,Cooler Master,,MB500-KGNN-S00,,15,Frente de malla para máximo flujo de aire.,"Formato: ATX Mid Tower
Ventiladores incluidos: 3
Panel lateral: Vidrio templado
Radiador máx: 360mm"
Corsair 4000D Airflow,Gabinete,2400,Corsair,,CC-9011200-WW,,16,Uno de los gabinetes más recomendados por su flujo de aire.,"Formato: ATX Mid Tower
Ventiladores incluidos: 2
Panel lateral: Vidrio templado
Radiador máx: 360mm"
Corsair iCUE 5000X RGB,Gabinete,4500,Corsair,,CC-9011212-WW,NUEVO,6,Gama alta con ventiladores RGB controlables vía software.,"Formato: ATX Mid Tower
Ventiladores incluidos: 3 RGB
Panel lateral: Vidrio templado
Radiador máx: 360mm"
Lian Li Lancool 215,Gabinete,2100,Lian Li,,G99.LANCOOL215X.00,,12,Excelente ventilación a precio competitivo.,"Formato: ATX Mid Tower
Ventiladores incluidos: 3
Panel lateral: Vidrio templado
Radiador máx: 360mm"
Lian Li O11 Dynamic,Gabinete,3800,Lian Li,,O11D-W,,7,"Diseño icónico panorámico, favorito para watercooling personalizado.","Formato: ATX Mid Tower
Ventiladores incluidos: 0 (no incluidos)
Panel lateral: Vidrio templado (doble)
Radiador máx: 360mm"
Montech Air 100,Gabinete,1200,Montech,,AIR-100-WHITE,,22,Económico con buen flujo de aire para Micro-ATX.,"Formato: Micro-ATX
Ventiladores incluidos: 1
Panel lateral: Vidrio templado
Bahías 3.5""/2.5"": 1/2"
Montech X3 Mesh,Gabinete,1750,Montech,,X3-MESH-ARGB,,14,Gran relación precio-ventiladores ARGB incluidos.,"Formato: ATX Mid Tower
Ventiladores incluidos: 4 ARGB
Panel lateral: Vidrio templado
Radiador máx: 360mm"
Thermaltake Versa H18,Gabinete,950,Thermaltake,,CA-1J4-00S1NN-00,,25,Compacto Micro-ATX para sistemas económicos.,"Formato: Micro-ATX
Ventiladores incluidos: 1
Panel lateral: Acrílico
Bahías 3.5""/2.5"": 2/2"
Thermaltake View 270 TG ARGB,Gabinete,2300,Thermaltake,,CA-1Y2-00M1WN-00,,10,Triple panel de vidrio para mostrar todo tu hardware.,"Formato: ATX Mid Tower
Ventiladores incluidos: 3 ARGB
Panel lateral: Vidrio templado (triple)
Radiador máx: 360mm"
Phanteks Eclipse P400A,Gabinete,2100,Phanteks,,PH-EC400ATG_DBK01,,11,Clásico moderno con gran flujo de aire frontal.,"Formato: ATX Mid Tower
Ventiladores incluidos: 3
Panel lateral: Vidrio templado
Radiador máx: 360mm"
Phanteks XT Pro Ultra,Gabinete,2950,Phanteks,,PH-EC620PTG_DBK01,,6,Gama media-alta con excelente cable management.,"Formato: ATX Mid Tower
Ventiladores incluidos: 3
Panel lateral: Vidrio templado
Radiador máx: 360mm"
ASUS TUF Gaming GT301,Gabinete,2600,ASUS,,TUF-GAMING-GT301,,9,Construcción robusta con estética TUF Gaming.,"Formato: ATX Mid Tower
Ventiladores incluidos: 3 ARGB
Panel lateral: Vidrio templado
Radiador máx: 360mm"
ASUS ROG Strix Helios,Gabinete,6800,ASUS,,ROG-STRIX-HELIOS,,3,Gabinete premium full tower para builds de exhibición.,"Formato: E-ATX Full Tower
Ventiladores incluidos: 3 ARGB
Panel lateral: Vidrio templado
Radiador máx: 420mm"
DeepCool CC560,Gabinete,1450,DeepCool,,R-CC560-BKNGM1-G-1,,16,Cuatro ventiladores incluidos a precio accesible.,"Formato: ATX Mid Tower
Ventiladores incluidos: 4
Panel lateral: Vidrio templado
Radiador máx: 360mm"
DeepCool CH560,Gabinete,2050,DeepCool,,R-CH560-BKNGE1-G-1,EN STOCK,13,Diseño dual-chamber para mejor organización de cables.,"Formato: ATX Mid Tower
Ventiladores incluidos: 3
Panel lateral: Vidrio templado
Radiador máx: 360mm"
Antec NX410,Gabinete,1350,Antec,,0-761345-81045-9,,18,Buen flujo de aire con panel frontal de malla.,"Formato: ATX Mid Tower
Ventiladores incluidos: 3
Panel lateral: Vidrio templado
Radiador máx: 360mm"
Cooler Master HAF 700 EVO,Gabinete,7200,Cooler Master,,H700E-IGNN-S0X,,2,Full tower masivo para las builds más ambiciosas.,"Formato: E-ATX Full Tower
Ventiladores incluidos: 4 ARGB
Panel lateral: Vidrio templado
Radiador máx: 420mm"
Cooler Master Hyper 212 Halo,Refrigeración,950,Cooler Master,,RR-S4HH-20PA-R1,,18,"Evolución del clásico 212, ahora con ARGB.","Tipo: Aire (torre)
Ventilador: 120mm ARGB
TDP soportado: hasta 150W
Altura: 158mm"
Cooler Master MasterLiquid ML240L,Refrigeración,1850,Cooler Master,,MLW-D24M-A18PZ-R1,,10,AIO de entrada con buen rendimiento térmico.,"Tipo: Líquida AIO
Radiador: 240mm
Ventiladores: 2x120mm
TDP soportado: hasta 250W"
Cooler Master MasterLiquid 360 Atmos,Refrigeración,3500,Cooler Master,,MLY-D36M-A18PZ-R1,NUEVO,5,AIO de gama alta con pantalla LCD personalizable.,"Tipo: Líquida AIO
Radiador: 360mm
Ventiladores: 3x120mm ARGB
TDP soportado: hasta 300W"
Noctua NH-D15,Refrigeración,2300,Noctua,,NH-D15,HOT,8,El estándar de oro en refrigeración por aire de doble torre.,"Tipo: Aire (doble torre)
Ventiladores: 2x140mm
TDP soportado: hasta 220W
Altura: 165mm"
Noctua NH-U12S,Refrigeración,1450,Noctua,,NH-U12S,,12,"Torre única compacta, ideal para gabinetes medianos.","Tipo: Aire (torre)
Ventilador: 120mm
TDP soportado: hasta 165W
Altura: 158mm"
Corsair iCUE H100i Elite RGB 240mm,Refrigeración,2950,Corsair,,CW-9060065-WW,,9,Control total vía software iCUE con pantalla en el bloque.,"Tipo: Líquida AIO
Radiador: 240mm
Ventiladores: 2x120mm RGB
TDP soportado: hasta 250W"
Corsair iCUE H150i Elite RGB 360mm,Refrigeración,3600,Corsair,,CW-9060066-WW,,6,Máxima disipación para los procesadores más calientes.,"Tipo: Líquida AIO
Radiador: 360mm
Ventiladores: 3x120mm RGB
TDP soportado: hasta 300W"
DeepCool AK400,Refrigeración,850,DeepCool,,R-AK400-BKNNMT-G-1,,20,Excelente relación precio-rendimiento en aire.,"Tipo: Aire (torre)
Ventilador: 120mm
TDP soportado: hasta 220W
Altura: 155mm"
DeepCool LS720 360mm AIO,Refrigeración,2750,DeepCool,,R-LS720-BKAMNT-G-1,,7,AIO con buena estética e iluminación infinity mirror.,"Tipo: Líquida AIO
Radiador: 360mm
Ventiladores: 3x120mm ARGB
TDP soportado: hasta 280W"
ID-Cooling SE-224-XT,Refrigeración,580,ID-Cooling,,SE-224-XT-BLACK,,25,Una de las opciones de aire más económicas del mercado.,"Tipo: Aire (torre)
Ventilador: 120mm
TDP soportado: hasta 180W
Altura: 154mm"
ID-Cooling FrostFlow 240,Refrigeración,1350,ID-Cooling,,FROSTFLOW-240,,13,AIO económica con buen rendimiento para su precio.,"Tipo: Líquida AIO
Radiador: 240mm
Ventiladores: 2x120mm
TDP soportado: hasta 220W"
Thermalright Peerless Assassin 120 SE,Refrigeración,750,Thermalright,,PA120-SE,,22,Sorprendente rendimiento de doble torre a precio bajo.,"Tipo: Aire (doble torre)
Ventiladores: 2x120mm
TDP soportado: hasta 245W
Altura: 155mm"
ARCTIC Liquid Freezer II 240,Refrigeración,1650,ARCTIC,,ACFRE00046A,HOT,11,Muy recomendada por relación precio-rendimiento en AIO.,"Tipo: Líquida AIO
Radiador: 240mm
Ventiladores: 2x120mm
TDP soportado: hasta 250W"
ARCTIC Freezer 34 eSports,Refrigeración,650,ARCTIC,,ACFRE00027A,,24,Económico y silencioso para sistemas gaming de entrada.,"Tipo: Aire (torre)
Ventilador: 120mm
TDP soportado: hasta 210W
Altura: 157mm"
NZXT Kraken 280,Refrigeración,3100,NZXT,,RL-KR280-B1,,6,Pantalla LCD circular personalizable en el bloque.,"Tipo: Líquida AIO
Radiador: 280mm
Ventiladores: 2x140mm
TDP soportado: hasta 260W"
be quiet! Dark Rock 4,Refrigeración,1750,be quiet!,,BK022,,9,Refrigeración por aire silenciosa por excelencia.,"Tipo: Aire (torre)
Ventilador: 135mm
TDP soportado: hasta 200W
Altura: 159mm"
be quiet! Pure Loop 2 240mm,Refrigeración,2400,be quiet!,,BW012,,7,AIO orientada a silencio sin sacrificar rendimiento.,"Tipo: Líquida AIO
Radiador: 240mm
Ventiladores: 2x120mm
TDP soportado: hasta 250W"
EVGA CLC 280mm,Refrigeración,2200,EVGA,,400-HY-CL28-V1,,8,Buena opción intermedia de EVGA para refrigeración líquida.,"Tipo: Líquida AIO
Radiador: 280mm
Ventiladores: 2x140mm
TDP soportado: hasta 250W"
MSI MAG Coreliquid 240R V2,Refrigeración,2350,MSI,,MAG-CORELIQUID-240R-V2,EN STOCK,10,Buena integración con el ecosistema MSI Mystic Light.,"Tipo: Líquida AIO
Radiador: 240mm
Ventiladores: 2x120mm ARGB
TDP soportado: hasta 250W"
Lian Li Galahad II 360,Refrigeración,3400,Lian Li,,GALAHAD-II-360-W,NUEVO,4,Diseño elegante con excelente rendimiento térmico.,"Tipo: Líquida AIO
Radiador: 360mm
Ventiladores: 3x120mm ARGB
TDP soportado: hasta 300W"
Logitech G102 Lightsync,Mouse,350,Logitech,,910-005823,,35,El mouse gamer de entrada más popular del mercado.,"DPI: hasta 8000
Botones: 6
Conexión: Cable USB
Peso: 85g"
Logitech G203 Lightsync,Mouse,450,Logitech,,910-005793,,30,Versión mejorada del G102 con mejor sensor.,"DPI: hasta 8000
Botones: 6
Conexión: Cable USB
Peso: 85g"
Logitech G502 Hero,Mouse,950,Logitech,,910-005469,HOT,20,"El mouse gamer más vendido de la historia, con pesas ajustables.","DPI: hasta 25600
Botones: 11
Conexión: Cable USB
Peso: 121g"
Logitech G Pro X Superlight,Mouse,2400,Logitech,,910-005878,,10,Ultraligero inalámbrico usado por jugadores profesionales.,"DPI: hasta 25600
Botones: 5
Conexión: Inalámbrica (Lightspeed)
Peso: 63g"
Logitech MX Master 3S,Mouse,2200,Logitech,,910-006559,NUEVO,12,El mejor mouse de productividad para oficina y diseño.,"DPI: hasta 8000
Botones: 7
Conexión: Inalámbrica (Bluetooth/USB)
Peso: 141g"
Razer DeathAdder V3,Mouse,1100,Razer,,RZ01-04640100-R3M1,,18,Forma ergonómica icónica con sensor de alta precisión.,"DPI: hasta 30000
Botones: 5
Conexión: Cable USB
Peso: 59g"
Razer Viper Mini,Mouse,650,Razer,,RZ01-03250100-R3M1,,22,"Compacto y ligero, ideal para manos pequeñas.","DPI: hasta 8500
Botones: 6
Conexión: Cable USB
Peso: 61g"
Razer Basilisk V3,Mouse,1350,Razer,,RZ01-04790100-R3M1,,14,Rueda de desplazamiento con resistencia ajustable.,"DPI: hasta 26000
Botones: 11
Conexión: Cable USB
Peso: 101g"
Razer Cobra,Mouse,850,Razer,,RZ01-04650100-R3U1,,16,Simétrico y ligero con iluminación Chroma RGB.,"DPI: hasta 8500
Botones: 6
Conexión: Cable USB
Peso: 72g"
Corsair Harpoon RGB Pro,Mouse,550,Corsair,,CH-9301111-NA,,25,Mouse compacto con buena relación precio-características.,"DPI: hasta 12000
Botones: 6
Conexión: Cable USB
Peso: 86g"
Corsair Ironclaw RGB,Mouse,950,Corsair,,CH-9307011-NA,,14,"Diseño ergonómico para manos grandes, sensor de alta precisión.","DPI: hasta 18000
Botones: 7
Conexión: Cable USB
Peso: 105g"
Corsair Dark Core RGB Pro,Mouse,1850,Corsair,,CH-9315411-NA,,8,Inalámbrico con carga inalámbrica Qi compatible.,"DPI: hasta 18000
Botones: 8
Conexión: Inalámbrica/Cable
Peso: 133g"
HyperX Pulsefire Haste,Mouse,750,HyperX,,4P5D7AA,,19,Diseño con carcasa perforada para reducir peso.,"DPI: hasta 16000
Botones: 6
Conexión: Cable USB
Peso: 59g"
HyperX Pulsefire Core,Mouse,480,HyperX,,HX-MC002B,,24,Opción económica con buen sensor óptico.,"DPI: hasta 6200
Botones: 7
Conexión: Cable USB
Peso: 87g"
SteelSeries Rival 3,Mouse,600,SteelSeries,,62513,,21,"Resistente y confiable, buena opción de entrada.","DPI: hasta 8500
Botones: 6
Conexión: Cable USB
Peso: 77g"
SteelSeries Aerox 5 Wireless,Mouse,2100,SteelSeries,,62612,,7,"Ultraligero con 9 botones programables, ideal para MMO.","DPI: hasta 18000
Botones: 9
Conexión: Inalámbrica
Peso: 66g"
ASUS ROG Gladius III,Mouse,1450,ASUS,,ROG-GLADIUS-III,,11,Switches intercambiables en caliente para personalización total.,"DPI: hasta 19000
Botones: 6
Conexión: Cable USB
Peso: 79g"
ASUS ROG Keris Wireless,Mouse,1700,ASUS,,ROG-KERIS-WIRELESS,,9,Forma ambidiestra con tres modos de conexión.,"DPI: hasta 16000
Botones: 6
Conexión: Inalámbrica/Bluetooth/Cable
Peso: 79g"
Glorious Model O,Mouse,1200,Glorious,,GO-WHITE,EN STOCK,13,"Carcasa tipo panal ultraligera, favorito de la comunidad gamer.","DPI: hasta 12000
Botones: 6
Conexión: Cable USB
Peso: 67g"
Redragon Cobra M711,Mouse,380,Redragon,,M711-RGB,,30,Excelente opción económica con buena iluminación RGB.,"DPI: hasta 10000
Botones: 7
Conexión: Cable USB
Peso: 92g"
